week,area,countingDirection,name,timestamp,is_holiday,is_edge_holiday
木曜,plaza_car_far,rightleft_bottomtop,motorbike,33.5,0.125,0.0
金曜,plaza_car_far,rightleft_bottomtop,motorbike,60.375,0.125,0.875
土曜,plaza_car_far,rightleft_bottomtop,motorbike,26.77777777777778,1.0,0.0
日曜,plaza_car_far,rightleft_bottomtop,motorbike,36.55555555555556,1.0,0.0
月曜,plaza_car_far,rightleft_bottomtop,person,563.5,0.1,0.9
火曜,plaza_car_far,rightleft_bottomtop,person,389.3,0.0,0.1
水曜,plaza_car_far,rightleft_bottomtop,person,507.4,0.0,0.1
木曜,plaza_car_far,rightleft_bottomtop,person,662.2,0.1,0.1
金曜,plaza_car_far,rightleft_bottomtop,person,650.2222222222222,0.1111111111111111,0.8888888888888888
土曜,plaza_car_far,rightleft_bottomtop,person,692.0,1.0,0.0
日曜,plaza_car_far,rightleft_bottomtop,person,597.5,1.0,0.0
月曜,plaza_car_far,rightleft_bottomtop,truck,153.33333333333334,0.1111111111111111,0.8888888888888888
火曜,plaza_car_far,rightleft_bottomtop,truck,146.77777777777777,0.0,0.1111111111111111
水曜,plaza_car_far,rightleft_bottomtop,truck,127.2,0.0,0.2
木曜,plaza_car_far,rightleft_bottomtop,truck,156.875,0.125,0.0
金曜,plaza_car_far,rightleft_bottomtop,truck,165.375,0.125,0.875
土曜,plaza_car_far,rightleft_bottomtop,truck,109.22222222222223,1.0,0.0
日曜,plaza_car_far,rightleft_bottomtop,truck,63.22222222222222,1.0,0.0
月曜,plaza_car_near,leftright_topbottom,bicycle,15.666666666666666,0.1111111111111111,0.8888888888888888
火曜,plaza_car_near,leftright_topbottom,bicycle,16.0,0.0,0.1111111111111111
水曜,plaza_car_near,leftright_topbottom,bicycle,12.666666666666666,0.0,0.1111111111111111
木曜,plaza_car_near,leftright_topbottom,bicycle,18.333333333333332,0.1111111111111111,0.0
金曜,plaza_car_near,leftright_topbottom,bicycle,32.75,0.125,0.875
土曜,plaza_car_near,leftright_topbottom,bicycle,24.444444444444443,1.0,0.0
日曜,plaza_car_near,leftright_topbottom,bicycle,23.77777777777778,1.0,0.0
月曜,plaza_car_near,leftright_topbottom,bus,11.1,0.1,0.9
火曜,plaza_car_near,leftright_topbottom,bus,18.7,0.0,0.1
水曜,plaza_car_near,leftright_topbottom,bus,9.666666666666666,0.0,0.1111111111111111
木曜,plaza_car_near,leftright_topbottom,bus,9.7,0.1,0.0
金曜,plaza_car_near,leftright_topbottom,bus,7.888888888888889,0.1111111111111111,0.8888888888888888
土曜,plaza_car_near,leftright_topbottom,bus,9.0,1.0,0.0
日曜,plaza_car_near,leftright_topbottom,bus,4.0,1.0,0.0
月曜,plaza_car_near,leftright_topbottom,car,292.7,0.1,0.9
火曜,plaza_car_near,leftright_topbottom,car,256.7,0.0,0.1
水曜,plaza_car_near,leftright_topbottom,car,274.7,0.0,0.1
木曜,plaza_car_near,leftright_topbottom,car,280.9,0.1,0.1
金曜,plaza_car_near,leftright_topbottom,car,339.22222222222223,0.1111111111111111,0.8888888888888888
土曜,plaza_car_near,leftright_topbottom,car,308.6,1.0,0.0
日曜,plaza_car_near,leftright_topbottom,car,273.8,1.0,0.0
月曜,plaza_car_near,leftright_topbottom,motorbike,14.8,0.1,0.9
火曜,plaza_car_near,leftright_topbottom,motorbike,5.0,0.0,0.1111111111111111
水曜,plaza_car_near,leftright_topbottom,motorbike,19.11111111111111,0.0,0.1111111111111111
木曜,plaza_car_near,leftright_topbottom,motorbike,11.222222222222221,0.1111111111111111,0.0
金曜,plaza_car_near,leftright_topbottom,motorbike,20.625,0.125,0.875
土曜,plaza_car_near,leftright_topbottom,motorbike,11.555555555555555,1.0,0.0
